"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"TE-4",0,15,1.582e+10,NA,1,100,0.065
"KNS-60",0.0200031835282347,13.937,32.56,31.6962321075757,4,0,31.6962321075757
"KNS-81",0,17.592,0,NA,1,100,33
"ML-1 [Human thyroid carcinoma]",0,16.33,0.0002973,NA,1,100,0.016
"NCI-H2228",0.153016025374262,12.891,0.2848,6114.00720330332,0.313953619092325,43.2014976853588,10.6214389805072
"NCI-H2452",0,16.048,0,NA,1.06653837141353,100,11.642458394719
"NCI-H226",0,17.515,1.35e-78,NA,1,100,0.13
"PC-14",0,16.867,1.286e-266,NA,1,100,2.1
"RS4;11",0.131704173903612,12.649,7.463,7.53260122463999,4,20.5659733033487,6.59803925880897
"SJSA-1",0,16.068,1.691e-37,NA,1,100,33
"SK-MM-2",0.297088368490808,10.083,3.382,3.38570862332643,0.448332795503225,0,3.38570862332643
"SNU-761",0.0346648231196529,13.646,30.84,25.4113756376981,4,0,25.4113756376981
"SU.86.86",0,17.67,0,NA,1,100,4.2
"SW1271",0.0265760763592988,13.871,31.83,28.4601894571706,4,0,28.4601894571706
"TE-6",0,15,83230,NA,1,100,17
"TE-8",0.0363035087946797,13.61,30.08,24.8764229821395,4,0,24.8764229821395
"ECC10",0.0605570449078722,13.279,20.62,20.8815267052196,2.29756150939848,0,20.8815267052196
"HCC1195",0.0170373689594195,14.2,42.64,41.8356537599832,2.60556264266974,0,41.8356537599832
"HPB-ALL",0.0491042211986622,13.322,20.63,21.3239006864452,4,0,21.3239006864452
"KMS-18",0.0426846503990361,13.449,22.53,22.9847053527631,4,0,22.9847053527631
"KMS-12-BM",0.0727640034787207,12.801,17.78,16.5295497128061,4,0,16.5295497128061
"KMS-34",0.0383502335998913,13.599,30.6,24.2386764060533,4,0,24.2386764060533
"KYO-1",0.00578209365730665,14.647,19.6,46.5842726055524,4,0,46.5842726055524
"Mono-Mac-1",0.0733930396464443,13.046,17.19,17.1253680494979,2.72524458226456,0,17.1253680494979
"NCI-H1650",0.038956984599454,13.399,29.92,24.0556072065951,4,0,24.0556072065951
"NCI-H446",0.037746970834967,13.424,30.22,24.4233379507419,4,0,24.4233379507419
"REC-1",0.00828420452902276,14.855,0.1878,NA,4,97.4307677811447,1.44089847315666
"SNU-410",0.0272285667277896,13.677,32.15,28.1833738798262,4,0,28.1833738798262
"SUP-T11",0.210717519643117,11.117,3.771,4.09135190142327,1.74380403776521,5.72219016456096,3.81590409861888
"TALL-1 [Human adult T-ALL]",0.119840329923357,12.871,13.65,10.0669833270084,4,3.69526077707449,9.87559358551631
"YD-8",0.0432244313482243,13.152,30.97,22.8367096610378,4,0,22.8367096610378
"CAL-51",0.0497415349352773,14.265,40.1,40.6845797631005,4,0,40.6845797631005
"Hs 944.T",0.013289904295988,14.452,0.8269,75.5255021838701,3.50444850763751,0,75.5255021838701
"L-540",0.0997559968298527,13.497,22.73,23.4702444859657,4,0,23.4702444859657
"LOU-NH91",0.0661667871256562,13.992,0.4114,NA,0.116439390685699,85.8681992657285,1.12096009934405
"MOLM-6",0.231662137478548,11.48,5.402,5.9262831235154,4,0,5.9262831235154
"MOLT-16",0.228809366178244,11.904,7.214,6.10482996611355,4,0,6.10482996611355
"NCI-H889",0.291176319142652,10.64,3.635,3.62037874161688,0.773101232747233,0,3.62037874161688
"NU-DUL-1",0.228485747766887,11.712,6.327,6.12542115915279,4,0,6.12542115915279
"RCH-ACV",0.236800215841037,11.431,4.757,4.96340698087918,4,5.9340379020012,4.80909327179312
"TUHR10TKB",0.0384262992602375,14.568,54.28,46.8189472408722,4,0,46.8189472408722
"MHH-CALL-4",0.257330652772537,10.786,2.295,3.31570325080855,4,12.6092024209344,3.08336072571576
"Mono-Mac-6",0.208831989354797,11.88,23.43,23.7536298161743,0.419127173494629,0,23.7536298161743
"NCI-H661",0.0196562991592349,14.952,65.53,62.2202022663675,4,0,62.2202022663675
"P3HR-1",0.0848541753938987,13.99,29.19,26.9139646637163,4,5.04230003792748,26.2081398743043
"Ri-1",0.154780846091399,12.66,14.91,14.3274836538411,1.38098551283836,0,14.3274836538411
"SU-DHL-8",0.145113784268144,12.92,12.08,13.0424641737059,4,9.99816116692645,12.334942810814
"SW1573",0.0620500000000005,14.069,0,NA,0,87.5899999999999,1e+06
"A2780",0.0957775055239412,13.538,21.28,24.2332665844542,4,1.92905171674455,23.9960706084885
"CL-11",0.0925980108486808,13.739,24.75,25.2957080714167,4,0.198587597772783,25.2705535054688
"Karpas-620",0.057930427374143,13.162,7.837,10.3648103569962,4,35.1183736793879,7.6556392082237
"KYSE-410",0.000593750000000004,15.177,3.911,NA,0,99.88125,2053.73600864771
"LCLC-97TM1",0.0452831376803148,14.332,43.18,42.9357778066246,4,0,42.9357778066246
"MOLP-2",0.0906784844137915,13.963,29.39,25.6623899454749,4,1.48190357748476,25.4700933749416
"NCI-H1355",0,15.055,9.617e-14,NA,0,100,39.1647754605012
"NCI-H1573",0.167115384615402,13.162,5.33e-24,NA,0,66.5769230769195,1e-06
"NCI-H1666",0.0956285786478516,13.576,21.87,24.0803496102467,4,3.39920792879676,23.6602108986494
"NCI-H2087",0.0744620490328119,13.88,28.76,29.970867987581,4,7.91224430448281,28.7075256563424
"OCUM-1",0.14389994310224,14.132,30.77,32.2624738530536,4,13.0854493917557,29.9057405297506
"KALS-1",0.0614757696961652,14.129,32.92,35.042799977858,4,6.77729609294105,33.7896957726388
"BV-173",0.10161487509302,13.483,21.29,22.5284699767915,4,3.59606758133146,22.1119932386493
"CAL-78",0.0278824918952769,14.863,62.42,54.2469093701133,4,0,54.2469093701133
"EPLC-272H",0.0927060506117376,13.613,21.97,24.5328454632314,4,5.93630955890566,23.7698060960142
"IGROV-1",0.031425610880338,14.827,61.41,51.4963132685784,4,0,51.4963132685784
"Rh18",0.0920926034080319,13.745,25.07,25.3510506559594,4,0.859280707876912,25.241423255365
"KM12",0,16.498,38.34,NA,4,100,1e+06
"KMS-11",0.195309830865007,12.073,5.405,6.5203305083732,4,15.6277335212212,5.93716545182126
"L-363",0.113606914046833,13.251,22.67,21.119604151135,2.08623648358743,0,21.119604151135
"MCAS",0.00269884771858354,15.592,5.934e-08,112.402781595984,4,0,112.402781595984
"MHH-CALL-3",0.243117845923077,11.347,3.056,3.9553272456361,1.71033390907078,17.6824824993691,3.06454939618537
"MKN74",0.0144127240452884,14.907,40.26,69.3194000575973,4,0,69.3194000575973
"RKO",0.0355101347096172,14.631,59.9,48.663714857542,4,0,48.663714857542
"SCC-25",0.59315549066649,6.1029,0.001734,0.00168667180439466,0.0709624383186909,0,0.00168667180439466
"SNG-M",0.0610953072226116,14.128,32.9,35.1934052164135,4,6.90065794585265,33.9106761249218
"SR",0.0371646060988201,14.375,40.02,47.6008875531068,4,0,47.6008875531068
"AMO1",0.091720798414214,13.663,23.15,24.925652745681,4,5.02347118466066,24.2745128376192
"HEC-50B",0.00646635493436448,14.879,46.09,88.5369671169476,4,0,88.5369671169476
"MC116",0.0873025351535396,13.816,25.7,26.1946973633022,4,4.96426463813638,25.5187970967112
"MOLM-16",0.185528514337198,12.388,49.83,13.8448804171137,1.23800229235786,0,13.8448804171137
"SU-DHL-4",0.0876166918700667,13.799,25.38,26.1093438320838,4,4.9113712119256,25.4431110446878
"SU-DHL-6",0.179556377149656,12.38,8.451,9.07338676856613,4,7.83675294849292,8.69481678341745
"CW-2",0.204249414809268,12.212,7.192,6.63426297135088,4,9.59954158416769,6.28994364540933
"NCI-H2052",0.0314417047700738,14.535,53.61,53.2374742124311,3.46340115444569,0,53.2374742124311
"NCI-H2085",0.0917915307964537,13.618,21.82,24.8899141349483,4,5.14701155933444,24.2230454121672
"NCI-H520",0.0503822581547204,14.292,55.73,40.375972076201,4,0,40.375972076201
"SNU-398",0.0777607417073083,13.711,32.44,33.0863823435964,1.95048665608605,0,33.0863823435964
"DBTRG-05MG",0.0182187499999999,14.93,2.137e-26,NA,0,96.35625,0.95498692818557
"Kelly",0.0981370931630322,13.425,20.75,23.8755690041748,4,0,23.8755690041748
"MDA-MB-231",0.0318782633491215,14.684,58.14,51.1661178487787,4,0,51.1661178487787
"ME-1 [Human leukemia]",0.219372628537854,11.755,5.638,6.11687816101904,4,5.12258510336271,5.95380062067302
"Mel JuSo",0.0496008373508885,14.248,6.187e-05,NA,0.0676452976566803,90.2208377772004,0.236169162525183
"NB1",0.0992670167893631,13.367,20.27,23.5918923381786,4,0,23.5918923381786
"NCI-H1373",0.0344874999999993,14.437,0,NA,0,93.1025000000001,0.0813000104213895
"NCI-H1792",0.0473194285904613,14.424,0.1196,NA,0.515313230713985,93.7086476563035,0.015027371594317
"A-549",0.0351142574163854,14.468,0.001111,NA,0.0723643135673183,91.5744149685571,39.8955645853322
"NCI-H2122",0,15.332,6.488e-11,NA,1.04754944783161,100,7.9093992129645
"NCI-H508",0.0383473354281607,14.63,57.83,46.86719706517,4,0,46.86719706517
"NCI-H460",0.0153394313931517,14.771,0.2961,NA,4,97.0696802874747,0.28459289904819
"OVCAR-4",0.092733046872502,13.824,27.92,25.2837758574323,4,0,25.2837758574323
