"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0,15.898,1.96,NA,0,100,1e+06
"KPL-1",0,15.015,0.3327,NA,0,100,0.029827802467316
"MKN1",NA,NA,NA,NA,NA,NA,NA
"253J-BV",NA,NA,NA,NA,NA,NA,NA
"BFTC-905",NA,NA,NA,NA,NA,NA,NA
"CAL-120",0,15.603,2.64e-09,NA,4,100,37014.8085589288
"CAL-62",0.0220545405498611,14.836,7.719,NA,4,88.0228584123165,9.71766962618787
"HuCC-T1",0.0939258454420103,13.474,11.64,20.2020501672066,4,45.7891497244535,10.8829189313076
"NMC-G1",0.0330552404290034,13.499,29.21,29.5825538958197,1.31612107713672,0,29.5825538958197
"RPMI-7951",0,13.877,12.57,NA,4,100,1e+06
"HDQ-P1",NA,NA,NA,NA,NA,NA,NA
"SNU-489",0.062830769230769,14.13,6.348e-08,NA,0,87.4338461538462,1e+06
"SNU-626",0.0653836358368598,14.056,6.408,NA,4,71.7797662663138,5.92452678567525
"SNU-738",0.0402633286340232,13.942,43.42,NA,4,59.9158638754442,12.5053653294415
"SNU-878",0.0636543530385333,14.068,2.654,NA,1.32047842565355,79.7689032413519,2.52476469820728
"TUHR4TKB",0.0686018571062856,13.936,8.985,NA,4,63.8802739513399,9.1492797453468
"ACC-MESO-1",0.0319088334556369,14.325,9.085,NA,4,72.8716119694157,10.5579246741051
"B-CPAP",0.0286066248679661,12.894,16,14.6443844792934,4,0,14.6443844792934
"CGTH-W-1",0.0646798342842983,13.557,8.699,35.1438233345115,4,49.7359131885018,9.47421387118874
"COLO 680N",NA,NA,NA,NA,NA,NA,NA
"ECC12",NA,NA,NA,NA,NA,NA,NA
"HCC95",NA,NA,NA,NA,NA,NA,NA
"JMSU-1",NA,NA,NA,NA,NA,NA,NA
"WSU-DLCL2",NA,NA,NA,NA,NA,NA,NA
"23132/87",0.0335660425607152,12.754,13.91,13.7018596076022,4,0,13.7018596076022
"8305C",NA,NA,NA,NA,NA,NA,NA
"BHY",0.0240719056283784,12.832,15.93,15.6571934860152,4,0,15.6571934860152
"GSU",NA,NA,NA,NA,NA,NA,NA
"JIMT-1",0.0261981523818582,13.098,17.87,18.3341946030985,2.53895844368007,0,18.3341946030985
"KMRC-20",0.0246795188285615,13.161,18.74,19.2462961048243,2.47013220137334,0,19.2462961048243
"OUMS-23",NA,NA,NA,NA,NA,NA,NA
"SNU-1076",NA,NA,NA,NA,NA,NA,NA
"SNU-1196",0.0343336354547203,12.747,13.86,14.0927897002196,3.43077382058956,0,14.0927897002196
"SNU-8",NA,NA,NA,NA,NA,NA,NA
"A-375",NA,NA,NA,NA,NA,NA,NA
"A-549",0.0170169130545368,13.64,13.16,17.6983981490239,4,0,17.6983981490239
"NCI-H2009",NA,NA,NA,NA,NA,NA,NA
"SNU-201",0.127414478679272,12.943,9436000,13097554.7792745,0.11585044429347,12.8855507293215,1e+06
"SUIT-2",0.0655243118969931,14.02,0.5132,NA,1.83670820269929,85.9468849446376,0.516126879049811
"COLO 741",0,15.902,3.016e-183,NA,4,100,1e+06
"DEL",0.0458905188995341,14.328,33.41,42.4045957474856,4,25.6185480780264,35.4352350070844
"HARA [Human squamous cell lung carcinoma]",0.0449889586795479,14.314,23.2,NA,3.25263583441022,55.5241762491814,23.2758679433704
"HCC15",0.054851748404767,14.165,17.98,NA,4,55.4403544064088,18.3643537712935
"KP-4",0.0264628206385901,14.562,18.53,NA,4,74.1750700988251,22.8070337017061
"Lu-99A",0.0250027742885828,14.622,24.71,NA,2.76743104564773,74.0155118961741,24.8263862031154
"NCI-H1155",0.10617172298305,13.32,8.678,15.546233485198,4,41.7680968957337,9.90279405686428
"NCI-H1581",0.0739254500966861,13.879,17.62,35.2231788299959,2.61187670838203,41.3055538954,18.0282736789725
"NCI-H2106",0.0841175833964236,13.73,19.48,34.1928769271494,1.77490569182463,31.3155282109363,19.6373948205576
"NCI-H358",0.0470219421384115,14.288,136.4,147.011642418446,0.915690050304866,15.8305371988481,97.0057203925115
"DLD-1",0,15.909,2.611e-45,NA,1.05025345929791,100,5.87268951113306
"EM-2",0.233347301971247,11.538,20.94,21.1890006655199,0.366601034418173,0,21.1890006655199
"JURL-MK1",0.0728615771938451,13.942,26.18,29.4963044012818,4,17.667869739709,26.4504877816094
"P12-Ichikawa",0.0245729537149192,13.844,30.14,30.075137663311,3.68143425931306,0,30.075137663311
"KE-37",0.0295305002885043,14.721,59.4,52.9288717560795,4,0,52.9288717560795
"KMS-21-BM",0.206030908611373,11.546,19.91,20.1728775103576,0.380729987367301,0,20.1728775103576
"Li-7",0.0817905002962176,13.759,18.67,27.6941716776076,2.75425265115286,32.2473162895942,19.015660899533
"MHH-NB-11",0.0212340898710711,14.696,0.155,NA,4,86.6324011969902,12.6454920893305
"MOLM-13",0.161931108138771,12.562,13.5,13.5803059124604,1.25031356857684,0,13.5803059124604
"NCI-H1975",0.00263571428571441,15.143,0.381,NA,0,99.4728571428571,1e+06
"NCI-H28",0.011184166261251,14.384,19.77,38.423217647503,4,0,38.423217647503
"639V",0.0156084947580123,14.787,9.302,NA,4,91.3527435053748,10.0925576435786
"BxPC-3",0.0622357142857138,14.079,4.784e-250,NA,0,87.5528571428572,0.718034246092387
"CML-T1",0.0659935077528586,13.998,17.79,51.5744336171153,2.79727795509734,47.3310292018569,18.091843871704
"GSS",0.0667018192758684,14.001,2.01,NA,1.02242174490794,80.4080297669774,1.96031242151019
"HCC366",0,15.174,7.033,NA,0.632500621495463,100,0.00385100414202946
"Kuramochi",0.10197032381549,13.467,12540000,29025400.4041347,0.135467465951032,18.3181053362934,1e+06
"LS411N",0.00742857142857178,14.979,0.009935,NA,0,98.5142857142856,4.8948657489626
"LS513",0,15.026,49.26,NA,0.750113082825465,100,16.4457052447253
"ONCO-DG-1",0.0333345152575891,14.49,0.2642,NA,4,93.6558159809226,0.278844437257182
"ONS-76",0.0168810389045734,14.931,16.62,NA,4,85.3924034675948,19.8727413922444
"SK-CO-1",0.0315250365049678,14.773,0.3728,NA,0.0462517177266611,91.7097063767555,14729.3965937459
"SW48",0.155533109312781,12.59,0.05512,NA,1.71643398682692,76.4819266903672,0.0535124500175827
"VM-CUB-1",0.0560767044561827,14.265,0.3011,880147.416019297,0.202925469256491,0,880147.416019297
"BEN",0,16.124,1.201e-114,NA,0.580566176285288,100,2821.38182328856
"CFPAC-1",0,16.04,0.003346,NA,1,100,0.002
"HCC78",0.0162750213854395,14.705,1.046,NA,1.42035282767048,93.9136779367172,4.14197849068232
"HT",0.0671362094067136,14.001,0.2335,NA,1.03276297835356,87.5157829855853,0.244338612048504
"KU-19-19",0,15.711,2.086e-09,NA,1.02766607806143,100,39.7244386312953
"NCI-H1299",0,15.298,0.1741,NA,0.717242605102036,100,0.071163946370505
"NCI-H727",0.0177482769493227,14.734,11.84,NA,4,89.10126712286,12.1294346045652
"NCO2",0.00635432929868372,15.703,0.2372,NA,4,68.4375,31.6227766016838
"OVTOKO",0.0542192516387868,14.182,8.299e-05,NA,0.0681356934583255,89.8293095712085,0.0508743591335303
"P31/FUJ",0.0114109514841182,14.702,0.5947,NA,2.7987652227173,83.338663628546,34.1024048539616
"Peer",0.096006905554848,13.548,12.5,19.4181011576628,3.65502859637802,39.5380876008733,12.6571841429734
"RPMI-8402",0.0539162413324496,14.189,7.808,NA,1.17088224618245,74.1581530586156,8.07602409899593
"SHP-77",0.0894731664543742,13.658,186300,190361.429488515,0.185624629333603,0,190361.429488515
"SNU-1077",0.0178714285714292,14.722,1.876,NA,0,96.4257142857142,0.0103020967298982
"SNU-620",0.0633577845399344,14.18,0.129,1832386825.12427,0.156487889530993,34.5706604921425,1e+06
"SU-DHL-1",0.0114210384931029,14.966,24.55,NA,4,87.4798430278781,25.6936116187158
"COLO 205",0.00537203967105837,14.988,46.79,NA,4,97.2171801097955,8.85750803396318
"EHEB",0.0788687360257964,13.82,1.676,NA,1.0720659832782,78.0296292488691,1.60190917110368
"Ki-JK",0.196702207817965,11.849,0.2647,NA,0.868081348633647,60.0808623624842,0.27622251739252
"KMM-1",0.0800832876814759,13.81,0.02916,NA,4,89.1880341895244,0.029697359731945
"LCLC-103H",0,16.194,0.003625,NA,1,100,0.0041
"MKN45",0,17.234,1.761e-70,NA,1,100,17
"NCI-H2405",0.230377603195984,11.269,0.4279,3.49566000107384,1.69158449211209,48.5807394538682,0.425653749708235
"NCI-H650",0.0258220686379755,14.602,0.2605,NA,4,95.1075459390597,0.272082334110777
"OS-RC-2",0.00784430428312948,14.786,0.5195,NA,4,94.8799742084584,13.4108109249246
"OVSAHO",0,15.098,2.161,NA,0.329049134098857,100,0.370157096522694
"QGP-1",0,18.224,0.0005078,NA,4,100,1e+06
"RL95-2",0,16.386,1.214,NA,0.785449873939338,100,0.0056570739907193
"SNU-1041",0.0373714285714285,14.03,0,NA,0,92.5257142857143,0.0731935839047085
"SNU-1066",0,15.204,0.3277,NA,0.952878608340596,100,0.00224052128670686
"SW1353",0,15.793,0.3384,NA,0.522093173220159,100,0.00338121331297897
"SNU-213",0,15.301,0.3478,NA,0,100,91183.4207151335
"8505C",0.0662294195277029,14.003,47.35,44.5228271255684,1.49483390128538,0,44.5228271255684
"Calu-3",0.0275363013656637,14.604,48.74,54.5331672685872,4,0,54.5331672685872
"Daoy",0.0332738144592188,14.534,50.79,50.1748500608077,4,0,50.1748500608077
"GB-1",0.0173814727260191,14.741,63.35,70.7778040673997,3.24186046975756,0,70.7778040673997
"HCC1171",0.0190220444381029,14.949,18.6,NA,4,72.9349934266107,32.2076539579263
"HCC44",0.102358853325673,13.451,24.37,24.5179032387823,1.8992873376602,0,24.5179032387823
"NCI-H211",0.0594151555498681,14.089,49.86,37.6519037337824,2.99726895539145,0,37.6519037337824
"RERF-LC-A1",0.0425391434514636,14.395,44.59,44.4218237290699,4,0,44.4218237290699
"SBC-5",0.0131094692325782,14.949,46.11,71.5103552941484,4,0,71.5103552941484
"SF126",0.0259813860547546,14.614,54.92,56.6000650040909,3.79932974458078,0,56.6000650040909
"SNU-119",0.048817886591667,14.297,52.54,41.1357530837588,4,0,41.1357530837588
"SNU-182",0.278556806634472,10.832,21.51,21.6761682550214,0.266099719289013,0,21.6761682550214
"TCCSUP",0.0407999224752948,14.392,51.35,51.0092021963859,2.51943669341364,0,51.0092021963859
"CAMA-1",0,15.221,5.366e-06,NA,1.1342691359536,100,95.9010377387341
"Detroit 562",0,15.55,0.1808,NA,0.645460542445085,100,1.77344169896168
"HEC-1-B",0,15.556,1.001,NA,0.0532443958922832,100,0.0699703596352332
"Hep 3B2.1-7",0.0147590951201811,15.46,9.585e-07,NA,4,91.0891879496936,11.7827528056376
"HSC-3",0,15,8469,NA,0.92168152787881,100,0.00512288154204217
"MCF-7",0,15,1.672e+10,NA,0.707222803579933,100,6276.8758665867
"SNU-1105",0.0445230769230767,14.354,3.374e-13,NA,0,91.0953846153847,0.261902110156755
"U-87MG ATCC",0,16.531,0.01047,NA,1,100,0.002
"22Rv1",0.0938251294413589,13.592,0.002032,NA,3.80718863429946,90.4495555945721,0.00200352500243807
"769-P",0,15.207,3.562,NA,0.940640467521838,100,0.0476054040781175
"COLO 699",0.0927431800167442,13.609,0.0003609,NA,0.399469001579695,89.7342433558006,0.0003629657725394
"DOV13",0.0146181771346758,14.818,509.1,NA,1.34766054266395,84.6897868884184,30.6263641599651
"ES-2",0.016437072826455,14.752,8.323,NA,4,91.4458417232223,8.93993607804961
"HCC1806",0,15.376,0.002247,NA,1,100,0.002
"HCC1954",0.0252022926201315,14.495,175700,NA,4,90.1697988729411,4.58254971639995
"HPAF-II",0.045830360489453,14.312,12810,13158.648423535,0.327999946246497,0,13158.648423535
"KHM-1B",0.0575117982602215,14.137,0.4343,NA,0.988471783032716,88.0431700371205,0.443788434214031
"OVISE",0,16.28,0.002011,NA,1,100,0.002
"JVM-3",0.145792929629767,12.814,4.891e+09,2700443921743.23,0.0840463356188507,35.5977134945424,1e+06
"SNU-C2A",0.112030769230973,13.446,1.736e-30,NA,0,77.5938461538054,0.00506555357069422
"U2OS",0.245115379899542,12.226,0.06551,NA,4,74.8634392378464,0.00232125997221154
"5637",0.154023076923077,12.656,2.307e-20,NA,0,69.1953846153846,0.00711388039766244
"CAL-12T",0.00960833726901457,14.87,16.55,58.4590706454491,4,44.7375019151479,33.2971753711142
"DMS 79",0.0865667703116155,13.69,43.61,43.4536918011862,1.03566967770404,0,43.4536918011862
"HCC1588",0.0353195712063983,14.379,38.27,48.7890241120586,4,0,48.7890241120586
"HCC1833",0.212129367095211,11.71,37280,37315.2976367087,0.112797300166,0,37315.2976367087
"HCC2279",0.0443839394777062,14.34,45.79,45.4944841282464,3.07844872190762,0,45.4944841282464
"KE-97",0.129123139015951,12.581,22.5,22.7580860291371,0.653734424631299,0,22.7580860291371
"KP-3",0.115696112863852,13.176,370100,465669.067330239,0.145518443652861,0,465669.067330239
"Ku812",0.0830848442253175,13.741,21.21,27.7767610871905,2.59715485965796,24.4680160837762,21.4434662589635
"KYSE-140",0.148999167161047,13.01,40.86,47.1968702839764,0.49914586508028,0,47.1968702839764
"NALM-6",0.103521420422499,13.453,25.12,25.0876079217124,1.66260696551363,0,25.0876079217124
"NUGC-4",0.224316594390565,11.568,0.00257,NA,0.0249438360616149,51.1582669414526,255.258655201528
"TT",0.0510594991693797,14.251,39.92,40.0535551052526,4,0,40.0535551052526
"AGS",0.0020028251155364,14.927,0.01503,NA,4,98.9187967419863,9.60685831630466
"HCT 116",0.023521530711369,14.648,5.903,NA,3.49250575782841,89.8192360647116,5.96512145534839
"HEC-108",0.0120615384615381,14.827,0,NA,0,97.5876923076924,0.00448953278200824
"HEC-59",0,15.55,2.863e-144,NA,1.02858529697212,100,9.01612833955216
"HMC-1-8",0.0200372702126142,14.701,33.38,NA,2.62189043477836,71.8561806883529,33.3796566195157
"SUIT-2.1",0.00342909970127065,14.744,0.4086,NA,4,82.4743285779664,62.3248955139761
"HT-29",0,15.377,0.005776,NA,0.993540252667033,100,0.00202783936255761
"Ishikawa (Heraklio) 02 ER-",0,15.951,0.002332,NA,1,100,1
"JHOC-5",0.0100405927350466,14.812,11.63,NA,1.38816395083052,70.250331878474,92.259295054822
"KYSE-180",0.0440173413371984,14.343,51.65,51.2646719679602,2.2056088232994,0,51.2646719679602
"LS180",0.0200092262151129,14.841,63.93,61.814942473449,4,0,61.814942473449
"Mel Ho",0.0332600707915026,14.496,112.9,110.352058390651,1.23103306575277,0,110.352058390651
"MHH-ES-1",0.223826876361842,11.648,73.81,74.7786652627439,0.265012415161304,0,74.7786652627439
"MOR/CPR",0.00634757425716553,14.916,15.17,NA,4,95.7391784981155,14.0157799637487
"NCI-H460",0.00711173858462001,14.888,10.1,NA,4,95.7884544500224,11.3928100370994
"HCC2108",0.0308497455757804,14.532,5.274,NA,1.94551938946548,87.2513730588425,5.34322580135628
"HCC827",0.0348348573521326,14.19,8736,NA,4,83.1009396140354,7.72931560352175
"HEC-251",0.0224384615384617,14.447,0,NA,0,95.5123076923077,1665.34941251967
"HEC-265",0,17.124,0.003761,NA,1,100,0.0041
"HEC-6",0.0440599004670394,14.339,7757000,51611149.5074165,0.195191272504381,26.8443266299765,1e+06
"HEL",0.0899264712900456,13.652,0.5871,NA,0.215093808395699,81.2413949309736,0.554459013179681
"JHUEM-2",0.0771316501257225,13.838,40.06,39.9850667561639,1.35894672284125,0,39.9850667561639
"Jurkat",0.0634290395958893,14.054,8.982,NA,0.250869662907376,79.3307336675217,14.2790273407873
"JVM-2",0.146100000000193,12.738,0.002444,NA,0,70.7799999999614,0.000116597420938359
"KCL-22",0.0945317475188795,13.582,4.981,NA,0.354754088853503,70.2842950112435,5.39139439683107
"KE-39",0.0668929451819388,13.998,2.066e+20,NA,0.0699979797983013,74.6202008207773,1e+06
"KM-H2",0.226601128195411,11.601,77.12,77.6302262065944,0.258418432279842,0,77.6302262065944
"LAMA-84",0.114517643287447,13.282,16150,16329.2427091914,0.204055754279748,0,16329.2427091914
"NCI-H2030",0.038726834018756,14.519,0.1547,NA,0.192013435275261,86.5838622288865,57.0397091954491
"SNU-719",0.0752589962451979,13.652,2.386,NA,0.0447723420995632,77.8984402143023,1e+06
"NCI-H1299.1",0.0728784751724703,13.905,514300000,1525339494033.7,0.134073805707937,42.5878786045544,1e+06
"KLE",0.0267492874460002,13.398,0,NA,4,66.0224162784395,29.3763564985852
"KMS-26",0.0616515854005893,14.06,42.68,36.2653570119955,3.20695822305259,0,36.2653570119955
"KMS-27",0.00634081828767815,14.573,17.04,45.3941484200506,4,0,45.3941484200506
"NCI-H1838",0.0208133787849516,14.738,31.8,NA,4,73.0098414487609,29.893440162635
"NCI-H196",0.0431845483206704,14.369,6.198e-144,NA,4,95.6458944813022,0.00159647915775565
"NCI-H292",0.010557740272311,15.416,3.63e-11,NA,4,88.8928949424751,24.6683379362334
"SK-MEL-1",0.00597621998518154,14.248,39.28,46.1560914512983,4,0,46.1560914512983
"HCC1937",0.0378692307692303,14.514,7.907e-06,NA,0,92.426153846154,0.00124916970211797
"HDLM-2",0.132285381131138,12.662,50.22,51.0490191846209,0.458229294625687,0,51.0490191846209
"HuH-28",0,15.952,0.9951,NA,0.0641480522031848,100,24.3844344969185
"MV4-11",0.0777883069739125,13.057,18.59,18.8164982841466,1.68964775217294,0,18.8164982841466
"NCI-H526",0.0132458547279116,14.241,41.36,67.1508681310955,4,48.2893732858741,28.8800501488769
"NCI-H69",0.0617337467214573,14.164,59.86,NA,0.367667366657663,70.6529993259209,32.3754957456354
"NCI-H929",0.158102611037261,12.551,0.04779,NA,1.00370729781343,76.3830686424733,0.0476609691574963
"NCI-N87",0.0455461538461542,14.516,1.823e-06,NA,0,90.8907692307692,0.242791369463531
"PF-382",0.096152173319669,13.263,124.6,125.36855760906,0.457629557101601,0,125.36855760906
"SF295",0.00363076923076927,15.019,0.5452,NA,0,99.2738461538462,0.00658084843697697
"SNU-1272",0.0203609097202458,14.697,27.7,NA,4,75.6526397758608,27.8658104056225
"SNU-308",0,17.401,7.246e-110,NA,1,100,66
"SNU-478",0.00991144314814375,14.358,0,NA,4,91.0393654295522,20.9334139891668
"BHT-101",0,15.748,0.003935,NA,1.00797099663963,100,43.3156932540693
"CAL-148",0.0161304127168255,14.758,0.5957,NA,4,88.717370238566,14.9220974871981
"CAL-51",0.0200377118394043,14.699,0.5751,NA,0.947344498346424,95.61203811041,0.57425166739059
"HCC1395",0.022869230769231,14.656,8.753e-06,NA,0,95.4261538461538,0.00122926013963729
"HT115",0.0337642857142862,14.772,3.219e-182,NA,0,93.2471428571427,0.223292935901067
"LN-18",0,15.679,0.003859,NA,0.817521836206378,100,0.0031851689121918
"LN-229",0,15.505,0.3257,NA,0.947283642512735,100,0.00465573811627751
"NCI-H1734",0.0758652734237857,13.86,1.126e+81,NA,0.023432361733415,84.2357918366658,8.9680248559838
"NCI-H2291",0.00125663388317274,15,2.861e-294,137.111059251805,4,0,137.111059251805
"RERF-LC-Ad1",0,15.214,8.201,NA,3.72755048016116,100,1e+06
"SNU-1214",0.119558333333333,13.235,1.26e-11,NA,0,76.0883333333334,0.0780095387304491
"SNU-46",0.0369230769230763,14.431,2.093,NA,0,92.6153846153847,1.88736588584281
"SNU-466",0,15.123,8.575,NA,0,100,3.76750647658085
"SNU-5",0.0295482078265903,14.433,0.5513,NA,3.67740871089377,90.2738368195305,2.79778729179149
"SNU-668",0.0617384615384615,14.069,0.0007747,NA,0,87.6523076923077,7.1827604944841
"SNU-899",0.0441608594537487,14.337,6.577e+113,NA,0.0180048741937046,90.9789999819452,3.72369926802937
"TE-10",0.043653846153846,14.671,0.5583,NA,0,91.2692307692308,9.96261252589608
"TE-4",0.0405979783168264,13.5,23.34,23.5732006767766,4,0,23.5732006767766
"TE-9",0.010584615384616,14.924,0.0009168,NA,0,97.8830769230768,0.00621760779362085
"YD-10B",0.0104230769230771,15.477,2.415,NA,0,97.9153846153846,0.00181734234467903
"YD-15",0,16.243,0.2953,NA,0.550374700026395,100,0.0803928848873888
"YD-38",0.0396636892937468,14.403,0.03854,NA,1.71925853601071,94.3780557452656,0.0426930607782488
"KNS-60",0.0391697310884501,13.507,20.6,23.9920331559698,4,0,23.9920331559698
"KNS-81",0.0129242268948634,14.984,10.43,NA,4,88.5988121766624,20.3379002251497
"ML-1 [Human thyroid carcinoma]",0.0215240953231339,13.937,32.45,30.861530477353,4,0,30.861530477353
"NCI-H2228",0.0845045604393295,13.305,30.35,33.0097558611263,0.84416150402684,0,33.0097558611263
"NCI-H2452",0.184719377920737,12.229,633.1,641.539317591693,0.215808338754523,0,641.539317591693
"NCI-H2444",0.00142826213652023,15.719,0.05997,38.0198432796117,4,20.0927991274482,33.4358034176751
"NCI-H226",0.0227596713123412,13.883,31.55,30.2261415728642,4,0,30.2261415728642
"PC-14",0.0487739184024419,13.35,21.08,21.4044666031564,4,0,21.4044666031564
"RS4;11",0.0495044569494066,13.319,20.6,21.226922683375,4,0,21.226922683375
"SJSA-1",0.0481150554887496,13.473,23.84,24.0720612410149,2.48063874475062,0,24.0720612410149
"SK-MM-2",0.0805013032360035,13.684,18.47,25.7619057667214,4,25.0374286522345,21.6549814489782
"SNU-761",0.0154779485458185,14.522,0.1276,51.3659496309131,1.39031111247949,0,51.3659496309131
"SU.86.86",0.0297965473062823,13.614,31.38,27.1526843834063,4,0,27.1526843834063
"SW1271",0.0604061267704601,14.069,17.21,NA,4,50.7861483873266,18.4327652994841
"TE-6",0.0158940561433505,14.268,51.49,NA,4,89.2902005549057,4.4442956147337
"TE-8",0.0545203627589467,13.297,19.04,20.06738724841,4,0,20.06738724841
"ECC10",0.0875963694174819,13.536,18.21,24.8351188590958,4,14.6113661692448,22.7792641657606
"HCC1195",0.0208536362659845,13.904,32.05,31.2218658654073,4,0,31.2218658654073
"HPB-ALL",0.0725842745177219,13.042,17.09,17.0378398012005,2.98014817368673,0,17.0378398012005
"KMS-18",0.270891047499331,10.938,0.3913,42647.9324850362,0.212243664877717,45.7986957010259,0.364925628322239
"KMS-12-BM",0.103149754170397,13.308,17.7,21.8260685532756,4,5.91198105498085,21.1501357899669
"KMS-34",0.180885161142332,11.908,11.07,11.3162213094208,0.605327360315092,0,11.3162213094208
"KYO-1",0.0430185197061223,13.146,31.71,22.8929683232518,4,0,22.8929683232518
"Mono-Mac-1",0.207527638983419,11.773,20330,22070.1913100816,0.120870890461423,0,22070.1913100816
"NCI-H1650",0.0286736102072432,13.912,33.61,33.3947000612321,2.4376163970263,0,33.3947000612321
"NCI-H446",0.034358554826185,13.628,30.9,25.5139498576565,4,0,25.5139498576565
"REC-1",0.0138562500000006,14.809,0.7261,NA,0,97.2287499999999,24501.9415648033
"SUP-T11",0.0321373991250921,13.507,32.24,26.28444391904,4,0,26.28444391904
"TALL-1 [Human adult T-ALL]",0.0818220441502534,13.706,17.29,24.5609139595972,4,30.6789391309257,19.3646550353991
"YD-8",0.0261087124774423,13.851,30.51,28.6625552405486,4,0,28.6625552405486
"CAL-51.1",0.0372986208609651,13.585,24.76,24.5623400355742,4,0,24.5623400355742
"Hs 944.T",0.0359993303229443,13.416,31.19,24.9740124553851,4,0,24.9740124553851
"L-540",0.124195260117217,12.465,13.1,13.1613954322415,1.08999445666066,0,13.1613954322415
"LOU-NH91",0.0441105440278292,13.637,27.79,27.8556682936117,2.06131761976809,0,27.8556682936117
"MOLM-6",0.0993678759835578,12.899,18.9,19.0793776739539,1.06356429072492,0,19.0793776739539
"MOLT-16",0.0448462432742583,13.068,32.57,22.4018470647516,4,0,22.4018470647516
"NCI-H889",0.0462155968455604,13.52,24.6,24.7741721746487,2.47038898684641,0,24.7741721746487
"RCH-ACV",0.0487645185145697,13.347,21.06,21.4067664998393,4,0,21.4067664998393
"TUHR10TKB",0.0282536583875806,13.751,31.42,27.7611809012699,4,0,27.7611809012699
"FU-OV-1",0,15.896,2.066,NA,4,100,1e+06
"MHH-CALL-4",0.0250769798774431,13.806,31.86,29.1221074374028,4,0,29.1221074374028
"Mono-Mac-6",0.0366389624049253,14.038,56.91,56.7479714850453,1.18690401830072,0,56.7479714850453
"MSTO-211H",0.0268648498100567,13.894,31.97,28.3368748195789,4,0,28.3368748195789
"NCI-H661",0.0251672392757457,13.748,32.05,29.0811718883828,4,0,29.0811718883828
"P3HR-1",0.024657774183753,13.864,31.87,29.3141488476963,4,0,29.3141488476963
"Ri-1",0.256773578823683,11.147,0.02578,NA,0.484545550851339,63.7097038458851,0.0260078666729019
"SU-DHL-10",0.0284503134470913,13.741,31.37,27.6818765228162,4,0,27.6818765228162
"SU-DHL-8",0.035041300388103,13.66,26.08,25.286433849347,4,0,25.286433849347
"A2780",0.0638566062726246,14.035,25.49,36.6981546268813,2.79058691508205,31.9424383485289,25.4767014055492
"CL-11",0.0308127945041412,14.535,75.92,74.8592325416296,1.82430208488521,0,74.8592325416296
"Karpas-620",0,15.963,4.261,NA,0.488864626127278,100,4.89120744993492
"KYSE-410",0.0239143449202047,14.813,22,NA,3.76742480401739,63.3566921047092,34.1937932254515
"LCLC-97TM1",0.0130216960150814,13.434,0,76.5256237121062,3.46422371023404,0,76.5256237121062
"MOLP-2",0.0115343552064943,14.166,8.861e+10,NA,4,52.5944311286895,57.3607826573029
"NCI-H1355",0.0325437887113604,14.428,17.36,NA,3.20401660543507,61.8068073024328,27.7131041352646
"NCI-H1573",0.0407127641508928,14.239,0.3734,93.2841841661167,2.37105867725023,45.9290965653357,32.3893144439153
"NCI-H1666",0.287939489984889,10.681,1357,1372.92677782166,0.112855812912972,0,1372.92677782166
"NCI-H2087",0.225009850359425,11.633,107.6,110.6460984118,0.240545439831506,0,110.6460984118
"KALS-1",0.00145000000000051,15.035,0.7234,NA,0,99.7099999999999,6.86194856009806
"SW1710",0.0218713437024646,14.755,19.32,86.7549522711513,2.40197109825307,26.514082460022,63.3391335521998
"BV-173",0.0128649475597556,14.544,16.83,NA,4,72.1754207261725,22.0403251270747
"CAL-78",0.00673551413229323,15.729,0.002166,NA,4,79.5987518112136,50.3555953661042
"EPLC-272H",NA,NA,NA,NA,NA,NA,NA
"IGROV-1",0,16.124,0.03115,NA,0,100,66048.9565824251
"Rh18",0.0137821486281202,14.129,0.0004668,NA,4,61.632728200233,48.3952142397768
"KM12",0.0782553087147748,13.827,12.93,35.4337453365048,4,48.9816584835482,13.3859106228506
"L-363",0.00892231577785479,14.856,8.853,NA,4,94.7783674969701,11.1569211188118
"MCAS",0,15.892,0.002451,NA,2.06569258659484,100,2239.23240307865
"MHH-CALL-3",0.0124906644936436,14.864,55.94,NA,4,83.2663562362495,30.7068765343178
"MKN74",0.00398863280749116,15.146,2.132e-115,51.6567002250994,4,0.664079980839114,51.4843183659991
"RKO",0.0163637699033279,14.598,13,NA,3.62295724585608,82.7493958304225,13.2673303760827
"SCC-25",0.0100896793177692,14.852,65.04,NA,1.25529233022931,81.2585750004747,64.9642237841684
"SNG-M",0.0115859869455144,14.681,36.91,74.6148588181937,3.9725358526259,0,74.6148588181937
"SR",0,15.639,8.468e-55,NA,1.10341636539836,100,274.61311834948
"AM-38",0,16.867,0.3682,NA,0,100,1e+06
"AMO1",0.028525809546266,13.731,31.34,27.6515712755345,4,0,27.6515712755345
"HEC-50B",0.0134095194981419,14.29,19.97,36.2933009746087,4,0,36.2933009746087
"MC116",0.0308036350820435,13.741,30.95,26.7715056645996,4,0,26.7715056645996
"MOLM-16",0.0304193857946278,13.776,32.54,26.9155267477605,4,0,26.9155267477605
"SU-DHL-4",0.0318146918960895,13.866,31.62,26.4005170052672,4,0,26.4005170052672
"SU-DHL-6",0.0250697161876398,13.805,31.86,29.1254080417771,4,0,29.1254080417771
